epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,298.95,0.48804,0.60036,0.41183,0.86754,0.99471,0.89474,0.98318,0.89868,0.99471,0.89474,0.98318,0.74119,0.41925,0.55944,0.43824,0.87825,0.0004952,0.0004952,0.0004952
78,302.532,0.50012,0.63412,0.42118,0.86862,0.98978,0.89474,0.97958,0.92225,0.98978,0.89474,0.97958,0.72118,0.4244,0.59638,0.44755,0.87895,0.0004754,0.0004754,0.0004754
79,306.406,0.48305,0.6027,0.40959,0.86854,0.98629,0.89474,0.97958,0.91007,0.98629,0.89474,0.97958,0.69519,0.41812,0.61771,0.43472,0.87774,0.0004556,0.0004556,0.0004556
80,310.474,0.47453,0.5875,0.4082,0.8624,0.94942,0.9885,0.99,0.91701,0.94942,0.9885,0.99,0.71393,0.42179,0.61616,0.41055,0.87309,0.0004358,0.0004358,0.0004358
81,313.655,0.44593,0.5674,0.391,0.85933,1,0.93912,0.9925,0.90777,1,0.93912,0.9925,0.71807,0.48193,0.58852,0.39908,0.88234,0.000416,0.000416,0.000416
82,316.731,0.48019,0.56267,0.40652,0.87101,1,0.99709,0.995,0.89536,1,0.99709,0.995,0.69715,0.46916,0.61017,0.39721,0.88977,0.0003962,0.0003962,0.0003962
83,321.18,0.46088,0.54466,0.39803,0.86885,0.94864,1,0.995,0.88903,0.94864,1,0.995,0.71647,0.4288,0.63828,0.4012,0.87797,0.0003764,0.0003764,0.0003764
84,325.005,0.47209,0.6106,0.40172,0.86805,0.99061,1,0.995,0.89869,0.99061,1,0.995,0.7245,0.39923,0.62917,0.37491,0.86516,0.0003566,0.0003566,0.0003566
85,328.325,0.46194,0.53628,0.40036,0.85413,0.99642,1,0.995,0.91472,0.99642,1,0.995,0.72367,0.42619,0.61638,0.38644,0.87342,0.0003368,0.0003368,0.0003368
86,331.436,0.46333,0.55355,0.3975,0.86176,0.99372,1,0.995,0.89624,0.99372,1,0.995,0.72889,0.42061,0.60715,0.37665,0.86642,0.000317,0.000317,0.000317
87,335.543,0.44207,0.58324,0.39014,0.8471,0.99281,1,0.995,0.88076,0.99281,1,0.995,0.75111,0.41249,0.60243,0.38286,0.86504,0.0002972,0.0002972,0.0002972
88,339.447,0.46139,0.57313,0.39281,0.85835,0.99443,1,0.995,0.90846,0.99443,1,0.995,0.76501,0.41221,0.57729,0.38753,0.87248,0.0002774,0.0002774,0.0002774
89,342.814,0.44171,0.56713,0.38557,0.862,0.99668,1,0.995,0.90721,0.99668,1,0.995,0.7346,0.42359,0.55815,0.38739,0.88185,0.0002576,0.0002576,0.0002576
90,345.962,0.45442,0.5863,0.39149,0.8612,0.99689,1,0.995,0.90126,0.99689,1,0.995,0.73611,0.43826,0.57769,0.38036,0.88141,0.0002378,0.0002378,0.0002378
91,354.08,0.37269,0.47256,0.38642,0.83984,0.99555,1,0.995,0.90491,0.99555,1,0.995,0.75856,0.43693,0.57554,0.36586,0.86541,0.000218,0.000218,0.000218
92,357.155,0.35899,0.43863,0.35661,0.81871,0.9938,1,0.995,0.89531,0.9938,1,0.995,0.75895,0.45205,0.55822,0.37269,0.86395,0.0001982,0.0001982,0.0001982
93,360.104,0.3464,0.43738,0.3493,0.81753,0.99493,1,0.995,0.89985,0.99493,1,0.995,0.76301,0.42506,0.54304,0.36153,0.85874,0.0001784,0.0001784,0.0001784
94,363.643,0.3535,0.45022,0.34439,0.82728,0.99429,1,0.995,0.91211,0.99429,1,0.995,0.75949,0.41774,0.52773,0.36791,0.86085,0.0001586,0.0001586,0.0001586
95,367.431,0.3342,0.4605,0.33764,0.81329,0.99273,1,0.995,0.92227,0.99273,1,0.995,0.76198,0.41831,0.53837,0.36135,0.86255,0.0001388,0.0001388,0.0001388
96,370.39,0.3263,0.42151,0.32761,0.81625,0.99175,1,0.995,0.92277,0.99175,1,0.995,0.76183,0.42349,0.56379,0.35768,0.86298,0.000119,0.000119,0.000119
97,373.277,0.33292,0.43085,0.33304,0.81833,0.99279,1,0.995,0.91465,0.99279,1,0.995,0.75943,0.40189,0.58241,0.3529,0.86005,9.92e-05,9.92e-05,9.92e-05
98,376.915,0.30373,0.42205,0.32586,0.80487,0.99362,1,0.995,0.91996,0.99362,1,0.995,0.75265,0.3848,0.5869,0.3559,0.85558,7.94e-05,7.94e-05,7.94e-05
99,381.373,0.32211,0.43565,0.32844,0.82044,0.9941,1,0.995,0.91188,0.9941,1,0.995,0.74046,0.38216,0.5879,0.35843,0.85445,5.96e-05,5.96e-05,5.96e-05
100,384.144,0.30204,0.41835,0.31764,0.80984,0.99393,1,0.995,0.92026,0.99393,1,0.995,0.7509,0.38277,0.58523,0.35412,0.85407,3.98e-05,3.98e-05,3.98e-05
